service,kasan_key,display_name,review_bucket,proposed_action,overall_mapping_status,risk_level,review_effort,recommended_reviewer_role,recommended_initial_decision,reason_for_priority,can_be_first_batch,why_not_first_batch
kyotaku_shien,nyuin_jouhou_renkei_II,入院時情報連携加算(II),needs_master_review,needs_master_review,needs_review,low,15min,business_reviewer,add_receipt_alias,公式 436129 と社内 438201 の単位 (200) が一致・alias 登録で PDF 検出を保ちつつ公式照合を充足できる,no,per_service_cap_exceeded (kyotaku_shien の初回バッチ上限 2 件に達した・後続バッチで対応)
kyotaku_shien,shokai_kasan,初回加算,needs_master_review,needs_master_review,needs_review,low,15min,business_reviewer,add_receipt_alias,公式 434001 と社内 438700 の単位 (300) が一致・alias 登録で PDF 検出を保ちつつ公式照合を充足できる,no,per_service_cap_exceeded (kyotaku_shien の初回バッチ上限 2 件に達した・後続バッチで対応)
kyotaku_shien,taiin_taisho_kasan_III,退院・退所加算(III),needs_master_review,needs_master_review,needs_review,low,15min,business_reviewer,add_receipt_alias,公式 436146 と社内 438305 の単位 (900) が一致・alias 登録で PDF 検出を保ちつつ公式照合を充足できる,no,per_service_cap_exceeded (kyotaku_shien の初回バッチ上限 2 件に達した・後続バッチで対応)
kyotaku_shien,taiin_taisho_kasan_II_i,退院・退所加算(II)イ,needs_master_review,needs_master_review,needs_review,low,15min,business_reviewer,add_receipt_alias,公式 436144 と社内 438303 の単位 (600) が一致・alias 登録で PDF 検出を保ちつつ公式照合を充足できる,no,per_service_cap_exceeded (kyotaku_shien の初回バッチ上限 2 件に達した・後続バッチで対応)
kyotaku_shien,taiin_taisho_kasan_II_ro,退院・退所加算(II)ロ,needs_master_review,needs_master_review,needs_review,low,15min,business_reviewer,add_receipt_alias,公式 436145 と社内 438304 の単位 (750) が一致・alias 登録で PDF 検出を保ちつつ公式照合を充足できる,no,per_service_cap_exceeded (kyotaku_shien の初回バッチ上限 2 件に達した・後続バッチで対応)
kyotaku_shien,taiin_taisho_kasan_I_i,退院・退所加算(I)イ,needs_master_review,needs_master_review,needs_review,low,15min,business_reviewer,add_receipt_alias,公式 436132 と社内 438301 の単位 (450) が一致・alias 登録で PDF 検出を保ちつつ公式照合を充足できる,no,per_service_cap_exceeded (kyotaku_shien の初回バッチ上限 2 件に達した・後続バッチで対応)
kyotaku_shien,taiin_taisho_kasan_I_ro,退院・退所加算(I)ロ,needs_master_review,needs_master_review,needs_review,low,15min,business_reviewer,add_receipt_alias,公式 436143 と社内 438302 の単位 (600) が一致・alias 登録で PDF 検出を保ちつつ公式照合を充足できる,no,per_service_cap_exceeded (kyotaku_shien の初回バッチ上限 2 件に達した・後続バッチで対応)
kyotaku_shien,terminal_care_management,ターミナルケアマネジメント加算,needs_master_review,needs_master_review,needs_review,low,15min,business_reviewer,add_receipt_alias,公式 436100 と社内 438600 の単位 (400) が一致・alias 登録で PDF 検出を保ちつつ公式照合を充足できる,no,per_service_cap_exceeded (kyotaku_shien の初回バッチ上限 2 件に達した・後続バッチで対応)
kyotaku_shien,tokutei_jigyousho_A,特定事業所加算(A),needs_master_review,needs_master_review,needs_review,low,15min,business_reviewer,add_receipt_alias,公式 434006 と社内 438104 の単位 (114) が一致・alias 登録で PDF 検出を保ちつつ公式照合を充足できる,no,per_service_cap_exceeded (kyotaku_shien の初回バッチ上限 2 件に達した・後続バッチで対応)
kyotaku_shien,tokutei_jigyousho_I,特定事業所加算(I),needs_master_review,needs_master_review,needs_review,low,15min,business_reviewer,add_receipt_alias,公式 434002 と社内 438100 の単位 (519) が一致・alias 登録で PDF 検出を保ちつつ公式照合を充足できる,no,per_service_cap_exceeded (kyotaku_shien の初回バッチ上限 2 件に達した・後続バッチで対応)
kyotaku_shien,tokutei_jigyousho_II,特定事業所加算(II),needs_master_review,needs_master_review,needs_review,low,15min,business_reviewer,add_receipt_alias,公式 434003 と社内 438101 の単位 (421) が一致・alias 登録で PDF 検出を保ちつつ公式照合を充足できる,no,per_service_cap_exceeded (kyotaku_shien の初回バッチ上限 2 件に達した・後続バッチで対応)
kyotaku_shien,tokutei_jigyousho_III,特定事業所加算(III),needs_master_review,needs_master_review,needs_review,low,15min,business_reviewer,add_receipt_alias,公式 434004 と社内 438102 の単位 (323) が一致・alias 登録で PDF 検出を保ちつつ公式照合を充足できる,no,per_service_cap_exceeded (kyotaku_shien の初回バッチ上限 2 件に達した・後続バッチで対応)
kyotaku_shien,tokutei_jigyousho_iryou_kaigo,特定事業所医療介護連携加算,needs_master_review,needs_master_review,needs_review,low,15min,business_reviewer,add_receipt_alias,公式 434005 と社内 438800 の単位 (125) が一致・alias 登録で PDF 検出を保ちつつ公式照合を充足できる,no,per_service_cap_exceeded (kyotaku_shien の初回バッチ上限 2 件に達した・後続バッチで対応)
kyotaku_shien,tsuuin_jouhou_renkei,通院時情報連携加算,needs_master_review,needs_master_review,needs_review,low,15min,business_reviewer,add_receipt_alias,公式 436135 と社内 438400 の単位 (50) が一致・alias 登録で PDF 検出を保ちつつ公式照合を充足できる,no,per_service_cap_exceeded (kyotaku_shien の初回バッチ上限 2 件に達した・後続バッチで対応)
tsusho_kaigo,chujudosha_care_taisei,中重度者ケア体制加算,needs_master_review,needs_master_review,needs_review,low,15min,business_reviewer,add_receipt_alias,公式 155306 と社内 156271 の単位 (45) が一致・alias 登録で PDF 検出を保ちつつ公式照合を充足できる,yes,
tsusho_kaigo,eiyou_kaizen,栄養改善加算,needs_master_review,needs_master_review,needs_review,low,15min,business_reviewer,add_receipt_alias,公式 155605 と社内 156112 の単位 (200) が一致・alias 登録で PDF 検出を保ちつつ公式照合を充足できる,yes,
tsusho_kaigo,koukuu_kinou_I,口腔機能向上加算Ⅰ,needs_master_review,needs_master_review,needs_review,low,15min,business_reviewer,add_receipt_alias,公式 155606 と社内 155501 の単位 (150) が一致・alias 登録で PDF 検出を保ちつつ公式照合を充足できる,yes,
tsusho_kaigo,nyuyoku_II,入浴介助加算Ⅱ,needs_master_review,needs_master_review,needs_review,low,15min,business_reviewer,add_receipt_alias,公式 155303 と社内 155302 の単位 (55) が一致・alias 登録で PDF 検出を保ちつつ公式照合を充足できる,yes,
houmon_kango_kaigo,shougu_kaizen_kasan_2026_06,介護職員等処遇改善加算（2026年6月臨時改定・訪問看護新規対象）,divergent,keep_pattern_based_unverified,needs_review,medium,15min,business_reviewer,keep_pattern_based_unverified,proposed_action と overall_mapping_status が分岐（alpha.5.8.1 で audit_note 化済）,no,divergent は記録のみ・初回バッチで判断しない
tsusho_kaigo,adl_iji,ADL維持等加算,divergent,keep_pattern_based_unverified,needs_review,medium,15min,business_reviewer,keep_pattern_based_unverified,proposed_action と overall_mapping_status が分岐（alpha.5.8.1 で audit_note 化済）,no,divergent は記録のみ・初回バッチで判断しない
tsusho_kaigo,ninchi_kasan,認知症加算,divergent,keep_pattern_based_unverified,needs_review,medium,15min,business_reviewer,keep_pattern_based_unverified,proposed_action と overall_mapping_status が分岐（alpha.5.8.1 で audit_note 化済）,no,divergent は記録のみ・初回バッチで判断しない
houmon_kango_kaigo,chouji_kan_houmon_kango_kasan,長時間訪問看護加算,needs_legal_review,needs_legal_review,needs_review,defer,legal_required,legal_reviewer,escalate_legal_review,基本サービスコードへの付加加算構造の解釈が必要,no,法令確認者の clearance が必要・初回バッチ対象外
houmon_kango_kaigo,fukusu_mei_houmon_kango_kasan_II_over30,複数名訪問看護加算(Ⅱ)・30分以上,needs_legal_review,needs_legal_review,needs_review,defer,legal_required,legal_reviewer,escalate_legal_review,基本サービスコードへの付加加算構造の解釈が必要,no,法令確認者の clearance が必要・初回バッチ対象外
houmon_kango_kaigo,fukusu_mei_houmon_kango_kasan_II_under30,複数名訪問看護加算(Ⅱ)・30分未満,needs_legal_review,needs_legal_review,needs_review,defer,legal_required,legal_reviewer,escalate_legal_review,基本サービスコードへの付加加算構造の解釈が必要,no,法令確認者の clearance が必要・初回バッチ対象外
houmon_kango_kaigo,fukusu_mei_houmon_kango_kasan_I_over30,複数名訪問看護加算(Ⅰ)・30分以上,needs_legal_review,needs_legal_review,needs_review,defer,legal_required,legal_reviewer,escalate_legal_review,基本サービスコードへの付加加算構造の解釈が必要,no,法令確認者の clearance が必要・初回バッチ対象外
houmon_kango_kaigo,fukusu_mei_houmon_kango_kasan_I_under30,複数名訪問看護加算(Ⅰ)・30分未満,needs_legal_review,needs_legal_review,needs_review,defer,legal_required,legal_reviewer,escalate_legal_review,基本サービスコードへの付加加算構造の解釈が必要,no,法令確認者の clearance が必要・初回バッチ対象外
houmon_kaigo,shougu_kaizen_kasan,介護職員処遇改善加算,future_candidate_only,future_candidate_only,pattern_based_unverified,defer,wait_r8_definitive,deferred,defer_until_r8_definitive,R8.6.1 確定版が出るまで checked 化に使えない,no,R8.6.1 確定版待ち・初回バッチで判断しない
kyotaku_shien,shougu_kaizen_kasan_2026_06,処遇改善加算（2026年6月臨時改定・新規対象）,future_candidate_only,future_candidate_only,pattern_based_unverified,defer,wait_r8_definitive,deferred,defer_until_r8_definitive,R8.6.1 確定版が出るまで checked 化に使えない,no,R8.6.1 確定版待ち・初回バッチで判断しない

# alpha.5.13 REVIEW_PRIORITY_MATRIX generated at 2026-05-10
# base_commit: 228897a415aa8b2ff9a0d0a0b96723901a995266 (alpha.5.12 kimura cio handoff)
# 本マトリクスは候補提示のみ。reviewer_decision は別途 reviewer が確定する。
# implementation_allowed=yes は本パケットでは付けない（手動入力が必要）。
